timestamp,vehicle_id,route
5400,vehicle_10004,-73 -47 -21 -7 3 14
5400,vehicle_10005,-121 -86 -25 -7 5 17 41
5400,vehicle_10006,-78 -25 -7 3 14 99
5400,vehicle_10007,-121 -86 -25 -7 5 17 41
5400,vehicle_10008,-47 -21 -7 3 14 93
5400,vehicle_10009,-19 -7 3 14 99
5400,vehicle_100010,-14 -3 7 19
5400,vehicle_100011,-99 -14 -3 7 25 86 119
5400,vehicle_100012,-19 -7 3 14
5400,vehicle_100013,-99 -14 -3 7 25 86 119
5400,vehicle_100014,-121 -86 -25 -7 3 14
5400,vehicle_100015,-19 -7 3 14 99
5400,vehicle_100016,-99 -14 -3 7 19
5400,vehicle_100017,-73 -47 -21 -7 3 14
5400,vehicle_100018,-19 -7 3 14 99
5400,vehicle_100019,-47 -21 -7 3 14 93
5400,vehicle_100020,-99 -14 -3 7 19
5700,vehicle_10001,-93 -14 -3 7 25 86 119
5700,vehicle_10002,-73 71 -78 -25 -7 3 14 93
5700,vehicle_10003,-121 -86 78 -71 73
5700,vehicle_10004,-73 71 -78 -25 -7 3 14
5700,vehicle_10005,-121 -86 -25 -7 5 17 41
5700,vehicle_10006,-78 -25 -7 3 14 99
5700,vehicle_10007,-121 -86 -25 -7 5 17 41
5700,vehicle_10008,71 -78 -25 -7 3 14 93
5700,vehicle_10009,-19 -7 3 14 99
5700,vehicle_100010,-14 -3 7 19
5700,vehicle_100011,-99 -14 -3 7 25 86 119
5700,vehicle_100012,-19 -7 3 14
5700,vehicle_100013,-99 -14 -3 7 25 86 119
5700,vehicle_100014,-121 -86 -25 -7 3 14
5700,vehicle_100015,-19 -7 3 14 99
5700,vehicle_100016,-99 -14 -3 7 19
5700,vehicle_100017,-73 71 -78 -25 -7 3 14
5700,vehicle_100018,-19 -7 3 14 99
5700,vehicle_100019,71 -78 -25 -7 3 14 93
5700,vehicle_100020,-99 -14 -3 7 19
6000,vehicle_10001,-93 -14 -3 7 25 86 119
6000,vehicle_10002,-73 -47 -21 -7 3 14 93
6000,vehicle_10003,-121 -86 78 -71 73
6000,vehicle_10004,-73 -47 -21 -7 3 14
6000,vehicle_10005,-121 -86 -25 -7 5 17 41
6000,vehicle_10006,-78 -25 -7 3 14 99
6000,vehicle_10007,-121 -86 -25 -7 5 17 41
6000,vehicle_10008,-47 -21 -7 3 14 93
6000,vehicle_10009,-19 -7 3 14 99
6000,vehicle_100010,-14 -3 7 19
6000,vehicle_100011,-99 -14 -3 7 25 86 119
6000,vehicle_100012,-19 -7 3 14
6000,vehicle_100013,-99 -14 -3 7 25 86 119
6000,vehicle_100014,-121 -86 -25 -7 3 14
6000,vehicle_100015,-19 -7 3 14 99
6000,vehicle_100016,-99 -14 -3 7 19
6000,vehicle_100017,-73 -47 -21 -7 3 14
6000,vehicle_100018,-19 -7 3 14 99
6000,vehicle_100019,-47 -21 -7 3 14 93
6000,vehicle_100020,-99 -14 -3 7 19
6300,vehicle_10001,-93 -14 -3 7 25 86 119
6300,vehicle_10002,-73 -47 -21 -7 3 14 93
6300,vehicle_10003,-121 -86 78 -71 73
6300,vehicle_10004,-73 -47 -21 -7 3 14
6300,vehicle_10005,-121 -86 -25 21 48 -66
6300,vehicle_10006,-78 -25 -7 3 14 99
6300,vehicle_10007,-121 -86 -25 21 48 -66
6300,vehicle_10008,-47 -21 -7 3 14 93
6300,vehicle_10009,-19 -7 3 14 99
6300,vehicle_100010,-14 -3 7 19
6300,vehicle_100011,-99 -14 -3 7 25 86 119
6300,vehicle_100012,-19 -7 3 14
6300,vehicle_100013,-99 -14 -3 7 25 86 119
6300,vehicle_100014,-121 -86 -25 -7 3 14
6300,vehicle_100015,-19 -7 3 14 99
6300,vehicle_100016,-99 -14 -3 7 19
6300,vehicle_100017,-73 -47 -21 -7 3 14
6300,vehicle_100018,-19 -7 3 14 99
6300,vehicle_100019,-47 -21 -7 3 14 93
6300,vehicle_100020,-99 -14 -3 7 19
6600,vehicle_10001,-93 -14 -3 7 25 86 119
6600,vehicle_10002,-73 -47 -21 -7 3 14 93
6600,vehicle_10003,-121 -86 78 -71 73
6600,vehicle_10004,-73 -47 -21 -7 3 14
6600,vehicle_10005,-121 -86 -25 21 48 -66
6600,vehicle_10006,-78 -25 -7 3 14 99
6600,vehicle_10007,-121 -86 -25 21 48 -66
6600,vehicle_10008,-47 -21 -7 3 14 93
6600,vehicle_10009,-19 -7 3 14 99
6600,vehicle_100010,-14 -3 7 19
6600,vehicle_100011,-99 -14 -3 7 25 86 119
6600,vehicle_100012,-19 -7 3 14
6600,vehicle_100013,-99 -14 -3 7 25 86 119
6600,vehicle_100014,-121 -86 -25 -7 3 14
6600,vehicle_100015,-19 -7 3 14 99
6600,vehicle_100016,-99 -14 -3 7 19
6600,vehicle_100017,-73 -47 -21 -7 3 14
6600,vehicle_100018,-19 -7 3 14 99
6600,vehicle_100019,-47 -21 -7 3 14 93
6600,vehicle_100020,-99 -14 -3 7 19
6900,vehicle_10001,-93 -14 -3 7 25 86 119
6900,vehicle_10002,-73 -47 -21 -7 3 14 93
6900,vehicle_10003,-121 -86 78 -71 73
6900,vehicle_10004,-73 -47 -21 -7 3 14
6900,vehicle_10005,-121 -86 -25 -7 5 17 41
6900,vehicle_10006,-78 -25 -7 3 14 99
6900,vehicle_10007,-121 -86 -25 -7 5 17 41
6900,vehicle_10008,-47 -21 -7 3 14 93
6900,vehicle_10009,-19 -7 3 14 99
6900,vehicle_100010,-14 -3 7 19
6900,vehicle_100011,-99 -14 -3 7 25 86 119
6900,vehicle_100012,-19 -7 3 14
6900,vehicle_100013,-99 -14 -3 7 25 86 119
6900,vehicle_100014,-121 -86 -25 -7 3 14
6900,vehicle_100015,-19 -7 3 14 99
6900,vehicle_100016,-99 -14 -3 7 19
6900,vehicle_100017,-73 -47 -21 -7 3 14
6900,vehicle_100018,-19 -7 3 14 99
6900,vehicle_100019,-47 -21 -7 3 14 93
6900,vehicle_100020,-99 -14 -3 7 19
7200,vehicle_10001,-93 -14 -3 7 25 86 119
7200,vehicle_10002,-73 71 -78 -25 -7 3 14 93
7200,vehicle_10003,-121 -86 78 -71 73
7200,vehicle_10004,-73 71 -78 -25 -7 3 14
7200,vehicle_10005,-121 -86 -25 -7 5 17 41
7200,vehicle_10006,-78 -25 -7 3 14 99
7200,vehicle_10007,-121 -86 -25 -7 5 17 41
7200,vehicle_10008,71 -78 -25 -7 3 14 93
7200,vehicle_10009,-19 -7 3 14 99
7200,vehicle_100010,-14 -3 7 19
7200,vehicle_100011,-99 -14 -3 7 25 86 119
7200,vehicle_100012,-19 -7 3 14
7200,vehicle_100013,-99 -14 -3 7 25 86 119
7200,vehicle_100014,-121 -86 -25 -7 3 14
7200,vehicle_100015,-19 -7 3 14 99
7200,vehicle_100016,-99 -14 -3 7 19
7200,vehicle_100017,-73 71 -78 -25 -7 3 14
7200,vehicle_100018,-19 -7 3 14 99
7200,vehicle_100019,71 -78 -25 -7 3 14 93
7200,vehicle_100020,-99 -14 -3 7 19
7500,vehicle_10001,-93 -14 -3 7 25 86 119
7500,vehicle_10002,-73 71 -78 -25 -7 3 14 93
7500,vehicle_10003,-121 -86 78 -71 73
7500,vehicle_10004,-73 71 -78 -25 -7 3 14
7500,vehicle_10005,-121 -86 -25 -7 5 17 41
7500,vehicle_10006,-78 -25 -7 3 14 99
7500,vehicle_10007,-121 -86 -25 -7 5 17 41
7500,vehicle_10008,71 -78 -25 -7 3 14 93
7500,vehicle_10009,-55 57 -131
7500,vehicle_100010,-14 -3 7 19
7500,vehicle_100011,-99 -14 -3 7 25 86 119
7500,vehicle_100012,-19 -7 3 14
7500,vehicle_100013,-99 -14 -3 7 25 86 119
7500,vehicle_100014,-121 -86 -25 -7 3 14
7500,vehicle_100015,-55 57 -131
7500,vehicle_100016,131 -57 55
7500,vehicle_100017,-73 71 -78 -25 -7 3 14
7500,vehicle_100018,-55 57 -131
7500,vehicle_100019,71 -78 -25 -7 3 14 93
7500,vehicle_100020,131 -57 55
7800,vehicle_10001,-93 -14 -3 7 25 86 119
7800,vehicle_10002,-73 71 -78 -25 -7 3 14 93
7800,vehicle_10003,-121 -86 78 -71 73
7800,vehicle_10004,-73 71 -78 -25 -7 3 14
7800,vehicle_10005,-121 -86 -25 -7 5 17 41
7800,vehicle_10006,-78 -25 -7 3 14 99
7800,vehicle_10007,-121 -86 -25 -7 5 17 41
7800,vehicle_10008,71 -78 -25 -7 3 14 93
7800,vehicle_10009,-55 57 -131
7800,vehicle_100010,-14 -3 9 55
7800,vehicle_100011,-99 -14 -3 7 25 86 119
7800,vehicle_100012,-55 -9 3 14
7800,vehicle_100013,-99 -14 -3 7 25 86 119
7800,vehicle_100014,-121 -86 -25 -7 3 14
7800,vehicle_100015,-55 57 -131
7800,vehicle_100016,131 -57 55
7800,vehicle_100017,-73 71 -78 -25 -7 3 14
7800,vehicle_100018,-55 57 -131
7800,vehicle_100019,71 -78 -25 -7 3 14 93
7800,vehicle_100020,131 -57 55
8100,vehicle_10001,-93 -14 -3 7 25 86 119
8100,vehicle_10002,-73 71 -78 -25 -7 3 14 93
8100,vehicle_10003,-121 -86 78 -71 73
8100,vehicle_10004,-73 71 -78 -25 -7 3 14
8100,vehicle_10005,-121 -86 -25 -7 5 17 41
8100,vehicle_10006,-78 -25 -7 3 14 99
8100,vehicle_10007,-121 -86 -25 -7 5 17 41
8100,vehicle_10008,71 -78 -25 -7 3 14 93
8100,vehicle_10009,-55 57 -131
8100,vehicle_100010,-14 -3 9 55
8100,vehicle_100011,-99 -14 -3 7 25 86 119
